Date,Three_Component_Index,News_Based_Policy_Uncert_Index
5-2014,90.3922424316406,102.015045166015
6-2014,81.0076217651367,85.9684677124023
7-2014,76.644905090332,78.506004333496
8-2014,71.2621459960937,63.8773345947265
9-2014,84.3369216918945,86.2165908813476
10-2014,100.206649780273,113.334579467773
11-2014,88.5600357055664,93.1859512329101
12-2014,85.1875,87.4153213500976
1-2015,117.160621643066,120.544227600097
2-2015,100.31974029541,87.6094665527343
3-2015,105.218147277832,95.9789657592773
4-2015,109.64379119873,103.544952392578
5-2015,101.018951416015,102.318702697753
6-2015,108.952796936035,115.88028717041
7-2015,98.9184341430664,98.7347869873046
8-2015,129.6953125,156.503616333007
9-2015,138.7216796875,171.932678222656
10-2015,102.894012451171,110.701927185058
11-2015,92.1004333496093,89.5836944580078
12-2015,99.3426132202148,101.963432312011
1-2016,119.015182495117,154.857315063476
2-2016,114.624557495117,148.32177734375
3-2016,104.190811157226,130.490158081054
4-2016,84.2513427734375,96.4134140014648
5-2016,82.0412673950195,96.2223358154296
6-2016,162.629119873046,233.956115722656
7-2016,121.964645385742,164.458389282226
8-2016,91.8289031982421,106.885627746582
9-2016,79.8089599609375,86.3435287475585
10-2016,92.517837524414,108.064125061035
11-2016,169.377822875976,254.101318359375
12-2016,115.152046203613,161.424774169921
1-2017,134.869537353515,195.040634155273
2-2017,133.331466674804,177.777709960937
3-2017,119.776168823242,154.609680175781
4-2017,121.570594787597,157.676544189453
5-2017,104.170974731445,129.888061523437
6-2017,98.7589569091796,120.638465881347
7-2017,110.753593444824,141.138320922851
8-2017,109.178260803222,137.859710693359
9-2017,96.7507629394531,116.620018005371
10-2017,102.160575866699,125.865852355957
11-2017,94.4896011352539,111.282684326171
12-2017,111.49722290039,140.350173950195
1-2018,123.651557922363,160.967208862304
2-2018,94.0074234008789,114.755561828613
3-2018,136.334320068359,187.095870971679
4-2018,108.213737487792,139.035369873046
5-2018,124.936645507812,162.27668762207
6-2018,108.627395629882,134.402770996093
7-2018,133.08625793457,176.205093383789
8-2018,99.1356201171875,114.961380004882
9-2018,102.660202026367,120.985191345214
10-2018,111.512557983398,136.114654541015
11-2018,130.223861694335,164.942199707031
12-2018,166.286804199218,226.576889038085
1-2019,201.031997680664,284.135925292968
2-2019,106.900657653808,123.639282226562
3-2019,140.247375488281,180.631683349609
4-2019,98.7366943359375,109.686363220214
5-2019,122.538764953613,160.858154296875
6-2019,150.116775512695,207.991378784179
7-2019,149.972900390625,207.745468139648
8-2019,190.463241577148,282.52294921875
9-2019,134.361785888671,186.640701293945
10-2019,118.488220214843,159.511398315429
11-2019,131.750701904296,170.480346679687
12-2019,143.467239379882,190.504913330078
1-2020,131.39111328125,164.755325317382
2-2020,160.515640258789,216.191207885742
3-2020,283.147216796875,425.779205322265
4-2020,268.645874023437,400.995147705078
5-2020,350.883544921875,504.687530517578
